Lon,Lat,GPS Head,PCI,Beam,ssRSRP_mean,ssRSRQ_mean,ssSINR_mean,ssbRSRP_mean,criRSRP_mean,Pathloss_mean,BLER_mean,CQI_mean,run
-93.262024,44.975796,210,1,13,-88.82499999999999,-10.43,10.06,-88.66499999999999,-78.5,104.14500000000001,14.525,12.875,"['8', '8']"
-93.262016,44.975311,210,1,10,-86.255,-10.42,18.307499999999997,-84.5,-75.5,102.58500000000001,1.55,14.0,"['7', '7']"
-93.262016,44.975311,210,1,13,-85.91,-10.59,1.55,-88.67,-98.0,104.63,23.94,10.25,['7']
-93.262016,44.975361,90,1,10,-100.99000000000001,-10.65,11.655000000000001,-97.25,-87.58500000000001,113.875,0.0,10.375,"['14', '14']"
-93.262016,44.975368,60,1,13,-100.11,-10.670000000000002,11.274999999999999,-97.5,-87.33500000000001,109.80000000000001,0.0,12.1,"['14', '14']"
-93.262016,44.975372,60,1,13,-96.75,-10.55,13.725,-92.91499999999999,-84.75,108.6,1.4300000000000002,13.625,"['14', '14']"
-93.262016,44.975391,270,1,10,-105.07375,-11.2175,4.23125,-103.125,-97.41624999999999,118.51875,4.1450000000000005,9.24,"['5', '5', '5', '5', '5', '5', '5', '5']"
-93.262016,44.975395,330,1,13,-109.25,-15.66,-7.95,-106.5,-102.0,122.0,1.8,9.0,['7']
-93.262016,44.975399,330,1,13,-109.64,-15.15,-5.87,-108.0,-105.0,124.0,2.42,9.33,['7']
-93.262016,44.975407,180,1,13,-86.33,-10.38,19.13,-85.0,-76.0,100.75,3.89,14.0,['7']
-93.262016,44.97541,180,1,13,-85.93857142857142,-10.422857142857143,19.483571428571427,-84.18999999999998,-77.42857142857143,100.73428571428572,1.3085714285714285,13.797142857142857,"['7', '7', '7', '7', '7', '7', '7']"
-93.262016,44.97541,240,1,10,-102.32333333333334,-10.79,12.36,-97.61333333333334,-85.66666666666667,121.60000000000001,1.4833333333333334,13.133333333333333,"['14', '14', '14']"
-93.262016,44.975414,180,1,13,-84.16,-10.395,19.939999999999998,-83.0,-76.25,99.66499999999999,3.67,14.0,"['7', '7']"
-93.262016,44.975414,240,1,10,-104.675,-10.85,7.155,-102.16499999999999,-94.33500000000001,117.725,2.46,10.0,"['14', '14']"
-93.262016,44.975418,180,1,13,-82.0,-10.4,19.96,-81.67,-74.67,98.14,0.0,14.0,['7']
-93.262016,44.975422,180,1,13,-81.28999999999999,-10.39,21.7075,-78.5,-73.0,96.41499999999999,0.0,14.0,"['7', '7']"
-93.262016,44.975426,180,1,13,-83.2225,-10.425,21.34,-81.875,-74.74875,98.71000000000001,5.3625,14.0,"['7', '7', '7', '7']"
-93.262016,44.97543,30,1,13,-98.63,-10.843333333333334,3.4966666666666666,-98.89,-97.0,114.20666666666666,6.25,9.576666666666666,"['7', '7', '7']"
-93.262016,44.97543,180,1,13,-83.07,-10.395,21.08,-81.5,-75.16499999999999,98.08500000000001,1.955,14.0,"['7', '7']"
-93.262016,44.975433,30,1,13,-101.34,-11.03,10.28,-98.0,-91.5,119.57,0.0,10.0,['7']
-93.262016,44.975433,180,1,13,-84.53999999999999,-10.379999999999999,21.177500000000002,-82.75,-75.16499999999999,99.4,0.0,14.0,"['7', '7']"
-93.262016,44.975437,30,1,13,-100.59,-10.97,3.38,-98.0,-96.0,113.33,0.0,10.25,['7']
-93.262016,44.975437,180,1,13,-84.93,-10.41,20.54,-83.67,-77.0,100.0,0.0,14.0,['7']
