Lon,Lat,GPS Head,PCI12866_mean,PCI16266_mean,PCI20266_mean,PCI22466_mean,PCI28866_mean,PCI12813_mean,PCI16213_mean,PCI20213_mean,PCI22413_mean,PCI28813_mean,PCI12866_max,PCI16266_max,PCI20266_max,PCI22466_max,PCI28866_max,run_max,PCI12813_max,PCI16213_max,PCI20213_max,PCI22413_max,PCI28813_max,PCI12866_min,PCI16266_min,PCI20266_min,PCI22466_min,PCI28866_min,run_min,PCI12813_min,PCI16213_min,PCI20213_min,PCI22413_min,PCI28813_min,PCI12866_std,PCI16266_std,PCI20266_std,PCI22466_std,PCI28866_std,PCI12813_std,PCI16213_std,PCI20213_std,PCI22413_std,PCI28813_std,PCI12866_count,PCI16266_count,PCI20266_count,PCI22466_count,PCI28866_count,run_count,PCI12813_count,PCI16213_count,PCI20213_count,PCI22413_count,PCI28813_count,run
-93.262054,44.975388,210,,,,,,,,,,-61.74,,,,,,14,,,,,-61.21,,,,,,14,,,,,-62.27,,,,,,,,,,0.7495331880577419,0,0,0,0,0,2,0,0,0,0,2,"['14', '14']"
-93.262047,44.975288,210,,,,,,,,,,-68.49,,,,,,7,,,,,-66.5,,,,,,7,,,,,-69.53,,,,,,,,,,1.3499074042318584,0,0,0,0,0,5,0,0,0,0,5,"['7', '7', '7', '7', '7']"
-93.262047,44.975288,240,,,,,,,,,,-69.94,,,,,,7,,,,,-69.94,,,,,,7,,,,,-69.94,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,1,['7']
-93.262047,44.9753,0,,,,,,,,,,-70.26580000000003,,,,,,7,,,,,-69.35,,,,,,7,,,,,-70.8,,,,,,,,,,0.3276825865849759,0,0,0,0,0,50,0,0,0,0,50,"['7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7']"
-93.262047,44.975349,90,,,,,,,,,,-63.926,,,,,,14,,,,,-61.4,,,,,,14,,,,,-66.8,,,,,,,,,,2.19268784828119,0,0,0,0,0,5,0,0,0,0,5,"['14', '14', '14', '14', '14']"
-93.262047,44.975349,150,,,,,,,,,,-61.13,,,,,,14,,,,,-61.13,,,,,,14,,,,,-61.13,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,1,['14']
-93.262047,44.975349,180,,,,,,,,,,-65.19,,,,,,14,,,,,-65.19,,,,,,14,,,,,-65.19,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,1,['14']
-93.262047,44.975388,210,,,,,,,,,,-59.75,,,,,,14,,,,,-59.75,,,,,,14,,,,,-59.75,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,1,['14']
-93.262047,44.975391,210,,,,,,,,,,-59.55,,,,,,14,,,,,-59.55,,,,,,14,,,,,-59.55,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,1,['14']
-93.262047,44.975391,240,,,,,,,,,,-61.004999999999995,,,,,,14,,,,,-60.37,,,,,,14,,,,,-61.48,,,,,,,,,,0.5331978994707279,0,0,0,0,0,4,0,0,0,0,4,"['14', '14', '14', '14']"
-93.262047,44.975395,240,,,,,,,,,,-61.535,,,,,,14,,,,,-61.08,,,,,,14,,,,,-61.99,,,,,,,,,,0.6434671708797584,0,0,0,0,0,2,0,0,0,0,2,"['14', '14']"
-93.262047,44.975399,270,-86.33333333333333,-84.44666666666667,-76.95,-83.58333333333333,-81.05,,,,,,-84.94,-82.34,-76.03,-82.75,-78.07,5,,,,,,-89.06,-86.31,-77.44,-85.19,-83.29,5,,,,,,2.3615531612337968,1.9961546366284695,0.7973079706111053,1.3917375231462739,1.8882054972910216,,,,,,3,3,3,3,6,6,0,0,0,0,0,"['5', '5', '5', '5', '5', '5']"
-93.262047,44.975403,270,-84.44,-81.03,-74.72,-82.785,-79.85499999999999,,,,,,-84.44,-80.81,-74.63,-82.19,-79.19,5,,,,,,-84.44,-81.25,-74.81,-83.38,-80.52,5,,,,,,,0.3111269837220793,0.12727922061358338,0.84145706961199,0.9404520189781019,,,,,,1,2,2,2,2,2,0,0,0,0,0,"['5', '5']"
-93.262047,44.975407,270,-82.13,-80.44,-73.88,-82.75,-78.23,,,,,,-82.13,-80.44,-73.88,-82.75,-78.23,5,,,,,,-82.13,-80.44,-73.88,-82.75,-78.23,5,,,,,,,,,,,,,,,,1,1,1,1,1,1,0,0,0,0,0,['5']
-93.262047,44.97541,270,-86.0,-85.81,-82.13,-83.56,-79.57499999999999,,,,,,-86.0,-85.81,-82.13,-83.56,-79.49,5,,,,,,-86.0,-85.81,-82.13,-83.56,-79.66,5,,,,,,,,,,0.12020815280171931,,,,,,1,1,1,1,2,2,0,0,0,0,0,"['5', '5']"
-93.262047,44.975414,300,,,,,-79.74,,,,,,,,,,-79.74,5,,,,,,,,,,-79.74,5,,,,,,,,,,,,,,,,0,0,0,0,1,1,0,0,0,0,0,['5']
-93.262047,44.975418,300,-92.25,-83.94,-81.63,-83.13,-77.19,,,,,,-92.25,-83.94,-81.63,-83.13,-77.1,5,,,,,,-92.25,-83.94,-81.63,-83.13,-77.28,5,,,,,,,,,,0.12727922061358338,,,,,,1,1,1,1,2,2,0,0,0,0,0,"['5', '5']"
-93.262047,44.975422,300,,,,,-82.19,,,,,,,,,,-82.19,5,,,,,,,,,,-82.19,5,,,,,,,,,,,,,,,,0,0,0,0,1,1,0,0,0,0,0,['5']
-93.262047,44.975426,330,,,,,-80.13,,,,,,,,,,-80.13,5,,,,,,,,,,-80.13,5,,,,,,,,,,,,,,,,0,0,0,0,1,1,0,0,0,0,0,['5']
-93.262047,44.97543,270,,,,,-76.56,,,,,,,,,,-76.56,5,,,,,,,,,,-76.56,5,,,,,,,,,,,,,,,,0,0,0,0,1,1,0,0,0,0,0,['5']
-93.262047,44.97543,330,,,,,-81.13,,,,,,,,,,-81.13,5,,,,,,,,,,-81.13,5,,,,,,,,,,,,,,,,0,0,0,0,1,1,0,0,0,0,0,['5']
-93.262047,44.975433,210,-83.69,-80.56,-79.56,-88.69,-83.56,,,,,,-83.69,-80.56,-79.56,-88.69,-83.56,5,,,,,,-83.69,-80.56,-79.56,-88.69,-83.56,5,,,,,,,,,,,,,,,,1,1,1,1,1,1,0,0,0,0,0,['5']
-93.262047,44.975765,210,,,,,,,,,,-64.44,,,,,,8,,,,,-64.44,,,,,,8,,,,,-64.44,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,1,['8']
-93.262047,44.975769,210,,,,,,,,,,-67.11692307692307,,,,,,8,,,,,-64.02,,,,,,8,,,,,-71.93,,,,,,,,,,1.885481302901131,0,0,0,0,0,13,0,0,0,0,13,"['8', '8', '8', '8', '8', '8', '8', '8', '8', '8', '8', '8', '8']"
-93.262047,44.975773,210,,,,,,,,,,-69.60333333333334,,,,,,8,,,,,-66.92,,,,,,8,,,,,-71.91,,,,,,,,,,2.516233958385684,0,0,0,0,0,3,0,0,0,0,3,"['8', '8', '8']"
-93.262039,44.975288,210,,,,,,,,,,-71.20500000000001,,,,,,7,,,,,-70.43,,,,,,7,,,,,-72.53,,,,,,,,,,0.9235258523723093,0,0,0,0,0,4,0,0,0,0,4,"['7', '7', '7', '7']"
-93.262039,44.975296,210,,,,,,,,,,-73.13,,,,,,7,,,,,-73.13,,,,,,7,,,,,-73.13,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,1,['7']
-93.262039,44.975349,120,,,,,,,,,,-57.19375,,,,,,14,,,,,-55.58,,,,,,14,,,,,-58.65,,,,,,,,,,1.1830944594579087,0,0,0,0,0,8,0,0,0,0,8,"['14', '14', '14', '14', '14', '14', '14', '14']"
